Red Checkpoint;Blue Checkpoint;Game Moves;Winner
12;1;A6 A6 C4 C3 D3 D2 E2 E1 F2 G1 G2 H1 I2 H2 B3 C2 B2 B4 A5 A4 B5 H3 I3 H4 I4 H6 I6 I5 J5 J4 K4 K3 J3 H5;Blue
12;1;F9 F9 F6 E8 B9 B10 G7 G8 F8 E10 E9 C11 J7 I8 J8 I10 I9 H10 H9 G10 G9 F10 K9 J11 K11 K10 C10 B11 D10 D11 A11 A10 J10 I11;Blue
12;1;J10 J10 F6 F5 G5 H3 K2 E8 B9 B10 G7 G8 F8 E10 E9 C11 F9 F10 G9 G10 I9 H11 I11 I10 H10 G11 J9 K9 C10 B11 I8 D10 D9 A10;Blue
13;1;G9 G9 F6 E8 B9 B10 G7 G8 F8 E10 E9 C11 F9 F10 D10 D11 C10 B11 H8 H9 G9 G10 I9 I8 K7 J8 K8 J6 K6 K5 J5 J7 A11 A10;Blue
9;2;F3 F3 H4 G8 D8 E6 F6 E7 F7 E9 C8 D7 C7 D6 B6 B7 H6 F8 G7 I7 K6 J8 H7 H8 B10 A7 C5 D5 D3 E8 D4 J7 K7 K8;Blue
10;2;G9 G9 F6 E8 B9 B10 G7 G8 F8 E10 E9 C11 F9 F10 H9 G9 H8 H7 J6 I5 K4 J3 C10 B11 D10 D11 G10 K3 H6 I6 J5 J4 F7 A10;Blue
13;2;B3 B3 G7 I10 F9 H5 F6 G4 E5 F3 D4 E2 C3 D1 B2 C4 D3 D2 C1 B3 A3 A4 B4 F4 E4 E3 C5 K3 I4 I5 G6 G5 F5 J4;Blue
13;2;G9 G9 F6 E8 B9 B10 G7 G8 F8 E10 E9 C11 F9 F10 D10 D11 C10 B11 H8 H9 G9 G10 I9 I8 K7 J8 K8 J6 K6 K5 J5 J7 A11 A10;Blue
10;3;C2 C2 I5 I10 E9 H6 G6 F8 E8 F7 E7 F5 F6 H4 H5 J3 I3 I4 G5 G4 E4 D6 A7 C8 E6 E5 F4 A8 I2 K3 C6 C7 B8 B7;Blue
13;3;G9 G9 F6 E8 B9 B10 G7 G8 F8 E10 E9 C11 F9 F10 D10 D11 C10 B11 H8 H9 G9 G10 I9 I8 K7 J8 K8 J6 K6 K5 J5 J7 A11 A10;Blue
15;3;I7 I7 F6 E8 B9 B10 G7 F9 H8 H9 J8 I10 K9 J11 H10 I9 J9 I8 J7 J10 K10 K11 C10 C9 G10 G11 F11 F10 D10 D9 E9 F8 B8 A10;Blue
8;4;F5 F5 G5 F7 E7 F6 E5 D7 H6 G8 H8 H7 J6 I7 J7 I5 K4 J3 A8 B9 D8 C7 I4 J4 K3 K2 H5 I6 J5 G7 G6 A10 C9 C8;Blue
8;4;H4 H4 F6 F7 E7 D9 E8 E9 A10 C8 B8 A11 C10 B10 C9 B9 I6 H8 J7 I9 K8 J10 G9 G8 I7 I8 J8 J9 K9 K10 C7 A9 D7 F8;Blue
8;4;J10 J10 F6 E8 B9 B10 G7 G8 F8 E10 E9 C11 F9 F10 G9 G10 I9 H11 I10 I11 J11 J9 H10 G11 K10 K9 C10 B11 I8 H9 H8 D10 D9 A10;Blue
9;4;I6 I6 F6 E8 B9 B10 G7 G8 F8 E10 E9 C11 J7 I9 K8 J10 G10 G9 H9 I7 J6 I8 H8 H7 J5 J9 K9 K10 C10 B11 D10 D11 A11 A10;Blue
10;4;I6 I6 F6 E8 B9 B10 G7 G8 F8 E10 E9 C11 J7 I9 K8 J10 G10 G9 H9 I7 J6 I8 H8 H7 J5 J9 K9 K10 C10 B11 D10 D11 A11 A10;Blue
